hostid              InversePageRank              outdegree              indegree
8058              9.9007084E-5                         214                            52
2571              9.875559E-5                         279                            181
9994              9.867455E-5                         297                            3
8494              9.865355E-5                         116                            282
5754              9.856361E-5                         303                            30
9010              9.855333E-5                         238                            73
8217              9.836052E-5                         189                            184
6794              9.8325545E-5                         239                            228
10321              9.818568E-5                         303                            194
5785              9.81556E-5                         154                            189
3136              9.802985E-5                         15                            37
2655              9.7936594E-5                         47                            59
7442              9.7848184E-5                         21                            32
5353              9.7751414E-5                         169                            90
7120              9.772574E-5                         335                            30
10210              9.753145E-5                         279                            37
8942              9.7417585E-5                         153                            618
4863              9.739738E-5                         452                            250
10460              9.726189E-5                         261                            179
11314              9.7260614E-5                         363                            41
11372              9.7155375E-5                         258                            41
9843              9.714954E-5                         16                            55
9055              9.6986754E-5                         200                            102
8664              9.682883E-5                         278                            187
3433              9.6673735E-5                         323                            32
6778              9.625542E-5                         299                            203
3400              9.621592E-5                         196                            21
5656              9.602148E-5                         175                            47
5438              9.584483E-5                         175                            244
7636              9.584034E-5                         218                            141
3032              9.5808486E-5                         267                            10
3655              9.57708E-5                         283                            69
7537              9.5665964E-5                         144                            55
4770              9.5389114E-5                         299                            152
11250              9.538212E-5                         280                            116
8201              9.530385E-5                         104                            88
8208              9.527926E-5                         214                            71
7194              9.519822E-5                         103                            18
4106              9.519019E-5                         251                            310
4757              9.501543E-5                         249                            101
8276              9.48067E-5                         336                            129
5713              9.4805124E-5                         202                            133
6893              9.476013E-5                         234                            236
5076              9.473644E-5                         255                            42
7917              9.448315E-5                         113                            47
7139              9.43095E-5                         274                            98
10103              9.430434E-5                         250                            97
2779              9.416405E-5                         158                            13
4985              9.41001E-5                         175                            188
2786              9.401531E-5                         50                            7
8349              9.384089E-5                         179                            139
7831              9.381618E-5                         319                            18
2448              9.374827E-5                         208                            4
8831              9.373064E-5                         319                            927
9739              9.358835E-5                         142                            26
9881              9.327138E-5                         275                            467
4943              9.321372E-5                         144                            94
7138              9.314792E-5                         274                            40
4932              9.305778E-5                         250                            41
9883              9.2972194E-5                         253                            69
4967              9.276867E-5                         287                            56
5468              9.273916E-5                         173                            21
3115              9.26894E-5                         175                            1
2833              9.2598966E-5                         40                            27
6152              9.251165E-5                         174                            59
10953              9.240144E-5                         252                            422
6019              9.23247E-5                         386                            124
5772              9.222419E-5                         161                            88
3778              9.210734E-5                         248                            1
3234              9.208874E-5                         44                            44
6284              9.204464E-5                         183                            107
2778              9.200433E-5                         185                            59
8694              9.1782735E-5                         223                            278
10132              9.16315E-5                         173                            239
11058              9.153256E-5                         226                            644
1999              9.126211E-5                         230                            285
5771              9.122411E-5                         143                            278
9280              9.081224E-5                         272                            157
2413              9.0615016E-5                         138                            91
1952              9.0467256E-5                         262                            373
8570              9.044967E-5                         159                            68
5776              9.0398644E-5                         155                            119
5361              9.0387206E-5                         208                            67
2810              9.0386886E-5                         43                            43
10561              9.0295565E-5                         268                            154
4703              9.0195645E-5                         147                            106
4124              9.0167305E-5                         40                            24
2063              9.0166934E-5                         43                            40
2634              9.0160276E-5                         43                            39
8000              9.0157024E-5                         123                            259
2952              9.015649E-5                         43                            41
5500              9.011155E-5                         50                            5
8246              9.011155E-5                         50                            5
2251              8.99977E-5                         57                            18
7486              8.991915E-5                         187                            264
8485              8.986714E-5                         163                            107
2677              8.9794215E-5                         278                            108
9339              8.969731E-5                         126                            9
5170              8.948764E-5                         195                            60
8764              8.946255E-5                         200                            152
4293              8.9417386E-5                         172                            1
4325              8.9417386E-5                         172                            1
4891              8.9417386E-5                         172                            1
5133              8.9417386E-5                         172                            1
5177              8.9417386E-5                         172                            1
5370              8.9417386E-5                         172                            1
5689              8.9417386E-5                         172                            1
6167              8.9417386E-5                         172                            1
10713              8.9249064E-5                         275                            23
2657              8.917208E-5                         222                            19
5334              8.911933E-5                         164                            171
4323              8.9084686E-5                         367                            140
5331              8.89296E-5                         127                            98
5620              8.887474E-5                         230                            68
2652              8.885407E-5                         106                            8
3079              8.8835375E-5                         203                            111
6311              8.882552E-5                         133                            883
5903              8.879606E-5                         168                            27
3714              8.8128516E-5                         42                            39
9447              8.8110915E-5                         13                            22
9925              8.7743276E-5                         264                            130
6809              8.7611304E-5                         173                            90
2444              8.759032E-5                         193                            119
9039              8.7586166E-5                         184                            32
5489              8.754017E-5                         233                            119
3480              8.749474E-5                         212                            43
8130              8.748709E-5                         133                            170
2555              8.7210785E-5                         95                            140
7341              8.719645E-5                         260                            90
7195              8.7190114E-5                         221                            74
4080              8.702379E-5                         182                            137
10345              8.7023785E-5                         412                            886
1708              8.697976E-5                         256                            105
8199              8.697693E-5                         177                            69
3026              8.6864624E-5                         40                            39
10046              8.6792985E-5                         18                            15
3525              8.6712906E-5                         356                            259
3324              8.657154E-5                         252                            117
9879              8.649651E-5                         336                            60
8207              8.6436514E-5                         189                            110
7536              8.641879E-5                         102                            19
4723              8.6124935E-5                         234                            386
11041              8.597289E-5                         33                            19
818              8.5900865E-5                         203                            86
11323              8.586137E-5                         188                            97
5498              8.555528E-5                         270                            130
5487              8.554877E-5                         48                            21
9976              8.5373606E-5                         124                            71
7309              8.5348154E-5                         303                            402
10906              8.5288084E-5                         45                            29
9920              8.527516E-5                         136                            85
4908              8.505899E-5                         222                            117
8133              8.502941E-5                         138                            114
6356              8.494638E-5                         56                            15
3608              8.478753E-5                         40                            40
5113              8.468327E-5                         24                            18
2751              8.46442E-5                         147                            66
7929              8.460059E-5                         162                            31
9785              8.4427214E-5                         224                            56
3462              8.418867E-5                         220                            158
2668              8.402542E-5                         288                            26
7358              8.3911684E-5                         160                            197
9877              8.390026E-5                         306                            74
9472              8.3849474E-5                         142                            90
9017              8.374904E-5                         227                            82
5665              8.363514E-5                         158                            163
9095              8.362709E-5                         177                            189
4794              8.350988E-5                         361                            183
7950              8.345995E-5                         222                            32
11299              8.3441926E-5                         203                            140
9587              8.343008E-5                         21                            23
4847              8.3393585E-5                         243                            436
7932              8.330951E-5                         300                            20
8620              8.3245104E-5                         222                            459
3055              8.316746E-5                         196                            40
9262              8.310113E-5                         184                            67
5977              8.3073646E-5                         128                            133
7933              8.3070016E-5                         298                            22
8579              8.301712E-5                         220                            1195
7923              8.295555E-5                         18                            61
2380              8.27836E-5                         37                            53
1743              8.27576E-5                         39                            34
2746              8.263674E-5                         129                            70
10671              8.26332E-5                         298                            126
9293              8.263207E-5                         126                            70
6325              8.2588296E-5                         181                            37
5409              8.242993E-5                         14                            10
10957              8.2254664E-5                         37                            21
2288              8.21776E-5                         137                            86
8193              8.215223E-5                         50                            3
11381              8.214789E-5                         272                            11
4671              8.208945E-5                         286                            362
4710              8.17885E-5                         175                            61
6046              8.176293E-5                         178                            63
9609              8.172082E-5                         148                            246
10665              8.165003E-5                         163                            194
6045              8.16271E-5                         178                            56
4999              8.1576705E-5                         171                            46
9330              8.155117E-5                         267                            141
538              8.1474274E-5                         100                            25
10117              8.1334794E-5                         240                            417
5654              8.122144E-5                         115                            51
11235              8.119431E-5                         1                            8
10825              8.118921E-5                         187                            524
4327              8.112862E-5                         119                            58
6493              8.1053324E-5                         239                            17
5342              8.10214E-5                         238                            255
7048              8.097838E-5                         65                            127
7884              8.092062E-5                         240                            28
404              8.0830985E-5                         242                            30
4648              8.064146E-5                         116                            119
10105              8.062307E-5                         191                            83
4039              8.0611215E-5                         98                            31
2711              8.0602666E-5                         256                            82
5782              8.057741E-5                         121                            126
2940              8.04459E-5                         220                            26
7745              8.04396E-5                         222                            40
9967              8.0334314E-5                         182                            202
787              8.022204E-5                         278                            134
10141              8.021586E-5                         147                            218
4818              8.0210855E-5                         292                            48
831              8.010043E-5                         36                            56
2855              8.005733E-5                         29                            17
2318              8.004763E-5                         49                            1
5413              8.003835E-5                         108                            44
9797              8.0029684E-5                         178                            23
8055              8.000308E-5                         377                            507
5667              7.999876E-5                         148                            48
9250              7.9990816E-5                         182                            17
173              7.996844E-5                         257                            2
800              7.9935824E-5                         36                            37
5855              7.983679E-5                         24                            26
8122              7.962351E-5                         201                            503
7872              7.959979E-5                         191                            55
9810              7.9589416E-5                         212                            36
6378              7.954564E-5                         227                            127
5780              7.951982E-5                         134                            117
5679              7.950943E-5                         157                            56
8604              7.937927E-5                         184                            186
3203              7.9071935E-5                         236                            31
5056              7.906515E-5                         243                            64
5733              7.898502E-5                         150                            169
9975              7.890452E-5                         118                            50
5179              7.8898855E-5                         123                            137
1995              7.874836E-5                         361                            13
7697              7.871578E-5                         212                            214
8164              7.8691344E-5                         105                            364
1619              7.868625E-5                         117                            136
4791              7.8662066E-5                         36                            23
11019              7.854866E-5                         149                            1
7399              7.839784E-5                         289                            370
3474              7.826397E-5                         123                            2
11331              7.8233075E-5                         179                            7
10793              7.814663E-5                         201                            134
11184              7.812318E-5                         320                            105
8202              7.811295E-5                         145                            112
6134              7.8109566E-5                         205                            139
4495              7.804257E-5                         295                            164
8605              7.7835604E-5                         333                            332
9113              7.782927E-5                         159                            118
8619              7.781303E-5                         111                            66
2456              7.7643E-5                         188                            65
2658              7.761557E-5                         195                            37
11306              7.751514E-5                         174                            5
3174              7.737319E-5                         35                            41
7325              7.735159E-5                         206                            195
2844              7.733878E-5                         43                            15
11182              7.730257E-5                         179                            125
11394              7.720353E-5                         35                            37
10054              7.7124154E-5                         210                            446
7137              7.6991666E-5                         89                            60
7999              7.689416E-5                         44                            19
976              7.686124E-5                         36                            37
1027              7.686124E-5                         36                            37
2206              7.686124E-5                         36                            37
7891              7.685904E-5                         177                            60
4204              7.6823766E-5                         117                            86
3706              7.681328E-5                         36                            36
5935              7.679992E-5                         125                            159
8659              7.6792305E-5                         313                            208
3803              7.663594E-5                         15                            74
4186              7.660623E-5                         11                            27
3028              7.6544646E-5                         35                            215
6300              7.652333E-5                         124                            156
10881              7.6476324E-5                         229                            131
7093              7.6455646E-5                         162                            414
7779              7.6422235E-5                         120                            95
8692              7.633518E-5                         190                            653
7028              7.628492E-5                         171                            90
1232              7.627447E-5                         273                            22
4861              7.624121E-5                         148                            113
2082              7.623708E-5                         215                            175
5532              7.6174096E-5                         133                            107
9324              7.611587E-5                         13                            4
3707              7.603584E-5                         318                            25
9081              7.5858596E-5                         261                            108
7678              7.577791E-5                         200                            94
8165              7.573204E-5                         318                            350
9503              7.572686E-5                         225                            56
3080              7.571241E-5                         153                            78
8214              7.564798E-5                         150                            66
5301              7.561514E-5                         223                            480
8610              7.5562806E-5                         269                            140
7902              7.549347E-5                         39                            48
1137              7.5484204E-5                         34                            34
5840              7.5478645E-5                         273                            814
10619              7.537068E-5                         192                            185
7786              7.53698E-5                         189                            405
2984              7.536566E-5                         220                            28
6229              7.528702E-5                         200                            39
3674              7.5267104E-5                         23                            22
7401              7.521609E-5                         363                            141
6695              7.5203236E-5                         142                            32
6844              7.519254E-5                         188                            61
1077              7.517215E-5                         158                            78
6353              7.5151285E-5                         213                            541
3811              7.51337E-5                         88                            87
7613              7.510983E-5                         241                            184
2992              7.509907E-5                         363                            543
7901              7.509698E-5                         38                            161
5616              7.508903E-5                         8                            31
1092              7.5002E-5                         35                            35
159              7.497312E-5                         35                            33
3460              7.494968E-5                         35                            34
5375              7.491337E-5                         199                            85
2997              7.48022E-5                         217                            16
2166              7.473695E-5                         320                            2
2603              7.4535135E-5                         118                            18
7607              7.436963E-5                         117                            382
3056              7.431327E-5                         248                            172
8795              7.4269934E-5                         270                            35
10631              7.418133E-5                         316                            655
2454              7.397282E-5                         194                            63
6006              7.39012E-5                         364                            1747
2801              7.3879644E-5                         190                            114
8303              7.37459E-5                         94                            152
1459              7.3725525E-5                         283                            4
7094              7.370598E-5                         139                            137
5670              7.354817E-5                         115                            159
205              7.354473E-5                         158                            293
4500              7.352998E-5                         222                            299
9694              7.3467076E-5                         141                            126
4121              7.337629E-5                         67                            15
4554              7.328363E-5                         120                            88
10803              7.316757E-5                         218                            243
8363              7.31173E-5                         128                            117
9185              7.309209E-5                         233                            218
3217              7.3063755E-5                         34                            37
2712              7.293884E-5                         33                            53
10637              7.285432E-5                         198                            185
6008              7.273632E-5                         217                            138
5138              7.2694485E-5                         102                            65
8200              7.250113E-5                         137                            178
669              7.248851E-5                         163                            79
3092              7.248678E-5                         33                            38
1756              7.24439E-5                         33                            37
2193              7.24439E-5                         33                            37
461              7.243384E-5                         22                            21
4086              7.240302E-5                         154                            167
3299              7.230051E-5                         33                            34
1403              7.2247065E-5                         33                            33
1737              7.2247065E-5                         33                            33
2244              7.2247065E-5                         33                            33
2587              7.2247065E-5                         33                            33
2595              7.2247065E-5                         33                            33
2754              7.2247065E-5                         33                            33
2805              7.2247065E-5                         33                            33
2990              7.2247065E-5                         33                            33
3336              7.2247065E-5                         33                            33
3704              7.2247065E-5                         33                            33
1878              7.219036E-5                         33                            32
2405              7.219036E-5                         33                            32
2597              7.219036E-5                         33                            32
3204              7.219036E-5                         33                            32
3347              7.219036E-5                         33                            32
3506              7.219036E-5                         33                            32
1591              7.208868E-5                         21                            21
11302              7.202627E-5                         170                            1
607              7.194861E-5                         21                            20
1483              7.194861E-5                         21                            20
1749              7.194861E-5                         21                            20
8060              7.193681E-5                         165                            42
6608              7.193073E-5                         169                            640
7496              7.1924595E-5                         201                            57
6610              7.188738E-5                         169                            440
946              7.179443E-5                         21                            19
959              7.179443E-5                         21                            19
1527              7.179443E-5                         21                            19
1763              7.179443E-5                         21                            19
505              7.1694936E-5                         33                            3
8337              7.15906E-5                         151                            293
2346              7.150714E-5                         63                            32
3734              7.145962E-5                         121                            38
2443              7.142982E-5                         106                            74
8792              7.1409486E-5                         146                            257
3036              7.1333845E-5                         33                            34
6148              7.1332026E-5                         185                            333
2969              7.132835E-5                         168                            159
1118              7.124973E-5                         35                            19
7699              7.121173E-5                         303                            134
2005              7.119274E-5                         223                            49
1443              7.110253E-5                         33                            33
2029              7.10963E-5                         147                            79
7823              7.109246E-5                         225                            351
7698              7.093696E-5                         303                            83
5462              7.087724E-5                         131                            97
8287              7.082522E-5                         111                            79
8360              7.080165E-5                         40                            123
8490              7.068248E-5                         137                            118
289              7.068014E-5                         214                            78
2505              7.0655726E-5                         108                            91
6115              7.059234E-5                         103                            265
9648              7.058479E-5                         195                            57
1376              7.056763E-5                         32                            31
446              7.0522095E-5                         252                            51
2941              7.050336E-5                         149                            138
1727              7.049995E-5                         98                            54
2861              7.0497794E-5                         20                            31
10787              7.0450864E-5                         69                            157
4825              7.039701E-5                         130                            85
10779              7.027015E-5                         166                            100
3965              7.013087E-5                         221                            138
2289              7.010098E-5                         24                            19
1279              7.001125E-5                         21                            22
928              6.983171E-5                         23                            19
8195              6.958821E-5                         113                            66
323              6.956972E-5                         101                            25
4379              6.946422E-5                         149                            245
8280              6.938746E-5                         151                            66
6911              6.9337424E-5                         176                            105
8113              6.9246984E-5                         114                            82
942              6.922473E-5                         22                            19
3429              6.90667E-5                         115                            18
8636              6.900096E-5                         201                            297
7947              6.898167E-5                         88                            44
10480              6.896341E-5                         166                            19
10258              6.896084E-5                         262                            185
4656              6.8935566E-5                         179                            20
10794              6.891408E-5                         146                            54
5664              6.888898E-5                         120                            56
7319              6.882934E-5                         48                            69
3030              6.877528E-5                         186                            143
2840              6.8743706E-5                         40                            24
1932              6.874161E-5                         22                            19
570              6.868702E-5                         20                            19
731              6.868702E-5                         20                            19
900              6.868702E-5                         20                            19
2675              6.868702E-5                         20                            19
7880              6.868702E-5                         20                            18
2455              6.866074E-5                         91                            87
7556              6.853616E-5                         206                            102
9573              6.8524336E-5                         224                            104
411              6.848033E-5                         65                            48
10729              6.837833E-5                         198                            168
4267              6.8364316E-5                         95                            25
10767              6.8319416E-5                         172                            181
5034              6.82841E-5                         91                            14
11322              6.8251466E-5                         344                            96
2959              6.8132686E-5                         152                            169
8929              6.813041E-5                         122                            23
10784              6.812753E-5                         77                            10
6803              6.80928E-5                         176                            120
8121              6.79536E-5                         66                            37
8097              6.794636E-5                         75                            53
6805              6.791087E-5                         189                            144
7551              6.7908935E-5                         156                            36
8563              6.771882E-5                         209                            282
6590              6.769681E-5                         23                            18
5363              6.768207E-5                         320                            406
6417              6.767877E-5                         175                            85
1112              6.765489E-5                         31                            38
11088              6.7598674E-5                         150                            52
11093              6.7583656E-5                         73                            11
9674              6.756408E-5                         307                            813
7914              6.754806E-5                         286                            207
5576              6.74736E-5                         244                            665
2225              6.743327E-5                         2                            41
10219              6.717471E-5                         302                            166
10990              6.713748E-5                         281                            219
11168              6.6978086E-5                         105                            109
7583              6.6973254E-5                         132                            170
4793              6.691422E-5                         80                            37
10043              6.68768E-5                         128                            189
4456              6.6871755E-5                         65                            36
9644              6.6865505E-5                         120                            35
7209              6.6848625E-5                         153                            47
10620              6.6811495E-5                         152                            81
6600              6.6801316E-5                         248                            185
7691              6.676371E-5                         113                            116
4555              6.671798E-5                         298                            163
9819              6.6672284E-5                         185                            67
4282              6.666216E-5                         136                            78
6599              6.663308E-5                         247                            738
3890              6.661975E-5                         222                            99
7769              6.6614986E-5                         191                            114
5657              6.66034E-5                         122                            79
7771              6.658588E-5                         189                            176
6668              6.65746E-5                         115                            154
1458              6.6450324E-5                         150                            56
5528              6.644171E-5                         332                            213
3100              6.642047E-5                         207                            7
9905              6.639227E-5                         161                            38
7318              6.6387285E-5                         62                            26
8557              6.6365705E-5                         101                            61
4817              6.628662E-5                         260                            43
10883              6.627167E-5                         196                            265
665              6.62258E-5                         94                            72
10785              6.6194465E-5                         76                            8
4508              6.619115E-5                         271                            205
4984              6.6172106E-5                         246                            230
